"","Draudėjo.kodas..code.","Juridinių.asmenų.registro.kodas..jarCode.","Pavadinimas..name.","Savivaldybė..kurioje.registruota.municipality.","Ekonominės.veiklos.rūšies.kodas.ecoActCode.","Ekonominės.veiklos.rūšies.pavadinimas.ecoActName.","Mėnuo..month.","Vidutinis.darbo.užmokestis..avgWage.","Apdraustųjų.skaičius..numInsured.","Vidutinis.darbo.užmokestis.II..avgWage2.","Apdraustųjų.skaičius.II..numInsured2.","Valstybinio.socialinio.draudimo.įmoka..tax."
"1",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202301,"1360.33",5,"",0,"1503.55"
"2",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202302,"1544.97",5,"",0,"1716.87"
"3",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202303,"1900.52",4,"",0,"1694.97"
"4",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202304,"2119.78",4,"",0,"1901.61"
"5",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202305,"1889.78",5,"",0,"2106.24"
"6",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202306,"1864.60",5,"",0,"2079.30"
"7",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202307,"1945.60",5,"",0,"2173.97"
"8",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202308,"1873.22",5,"",0,"2094.68"
"9",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202309,"1907.10",5,"",0,"2123.27"
"10",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202310,"1592.20",5,"",0,"1773.25"
"11",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202311,"1418.80",5,"",0,"1574.73"
"12",58300,110185776,"UŽDAROJI AKCINĖ BENDROVĖ VALKOR ENTERPRISES","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202312,"1316.87",5,"",0,"1471.15"
"13",48186,110343945,"UŽDAROJI AKCINĖ BENDROVĖ MANONAS","Vilniaus m. sav.",467300,"Medienos, statybinių medžiagų ir sanitarinių įrenginių didmeninė prekyba",202301,"",2,"",0,""
